observation_date,NAEXKP01DEQ189S
1991-01-01,557516960000
1991-04-01,554566330000
1991-07-01,553355810000
1991-10-01,560467600000
1992-01-01,569054120000
1992-04-01,564666260000
1992-07-01,563682820000
1992-10-01,561867160000
1993-01-01,557800650000
1993-04-01,557649330000
1993-07-01,560902440000
1993-10-01,560524200000
1994-01-01,568297880000
1994-04-01,569659580000
1994-07-01,573593500000
1994-10-01,580553470000
1995-01-01,578473110000
1995-04-01,582709910000
1995-07-01,583769090000
1995-10-01,583996060000
1996-01-01,579210810000
1996-04-01,587078920000
1996-07-01,589045940000
1996-10-01,593433880000
1997-01-01,590350760000
1997-04-01,597992100000
1997-07-01,599807860000
1997-10-01,604347220000
1998-01-01,609983300000
1998-04-01,607411140000
1998-07-01,610285910000
1998-10-01,607789360000
1999-01-01,614825330000
1999-04-01,614825330000
1999-07-01,621634070000
1999-10-01,626778410000
2000-01-01,635724760000
2000-04-01,640869250000
2000-07-01,640566640000
2000-10-01,638675260000
2001-01-01,651517590000
2001-04-01,651290640000
2001-07-01,649928890000
2001-10-01,649323650000
2002-01-01,645994960000
2002-04-01,648794070000
2002-07-01,651971480000
2002-10-01,651063660000
2003-01-01,641398850000
2003-04-01,642079740000
2003-07-01,646997280000
2003-10-01,648812980000
2004-01-01,647678140000
2004-04-01,651006940000
2004-07-01,649645200000
2004-10-01,649115610000
2005-01-01,649058690000
2005-04-01,652538880000
2005-07-01,658061810000
2005-10-01,661239430000
2006-01-01,667650940000
2006-04-01,679074810000
2006-07-01,684294950000
2006-10-01,694659640000
2007-01-01,695113510000
2007-04-01,701014560000
2007-07-01,704570350000
2007-10-01,709109640000
2008-01-01,713648920000
2008-04-01,711984540000
2008-07-01,707369580000
2008-10-01,696097030000
2009-01-01,663490000000
2009-04-01,664549140000
2009-07-01,668256220000
2009-10-01,673173760000
2010-01-01,678602410000
2010-04-01,693884150000
2010-07-01,699633750000
2010-10-01,705307710000
2011-01-01,718944710000
2011-04-01,719625590000
2011-07-01,725980610000
2011-10-01,723710930000
2012-01-01,725299680000
2012-04-01,726661440000
2012-07-01,728779790000
2012-10-01,725375330000
2013-01-01,722103530000
2013-04-01,729971380000
2013-07-01,733980950000
2013-10-01,736023590000
2014-01-01,743229810000
2014-04-01,743381110000
2014-07-01,746936850000
2014-10-01,752989250000
2015-01-01,749206540000
2015-04-01,755031950000
2015-07-01,757982430000
2015-10-01,761386860000
2016-01-01,767817500000
2016-04-01,771524600000
2016-07-01,773037650000
2016-10-01,775988170000
2017-01-01,785293730000
2017-04-01,792556520000
2017-07-01,797549760000
2017-10-01,805115210000
2018-01-01,800254470000
2018-04-01,806760590000
2018-07-01,799270960000
2018-10-01,806155360000
2019-01-01,811678230000
2019-04-01,811375620000
2019-07-01,811224280000
2019-10-01,813645220000
2020-01-01,799270420000
2020-04-01,725584660000
2020-07-01,790267690000
2020-10-01,796471210000
2021-01-01,786334310000
2021-04-01,803885800000
2021-07-01,809257130000
2021-10-01,809332790000
2022-01-01,817446890000
2022-04-01,816387700000
2022-07-01,819338240000
2022-10-01,816009490000
2023-01-01,816009450000
2023-04-01,817144310000
2023-07-01,816085100000
