observation_date,QSEPAMUSDA
1961-01-01,17.350
1961-04-01,17.555
1961-07-01,17.831
1961-10-01,17.944
1962-01-01,18.460
1962-04-01,18.945
1962-07-01,19.446
1962-10-01,19.890
1963-01-01,20.704
1963-04-01,21.464
1963-07-01,21.963
1963-10-01,22.332
1964-01-01,23.549
1964-04-01,24.139
1964-07-01,24.768
1964-10-01,25.231
1965-01-01,26.011
1965-04-01,26.752
1965-07-01,27.139
1965-10-01,27.654
1966-01-01,28.726
1966-04-01,29.480
1966-07-01,29.938
1966-10-01,30.422
1967-01-01,31.215
1967-04-01,32.152
1967-07-01,32.953
1967-10-01,33.947
1968-01-01,35.104
1968-04-01,36.052
1968-07-01,37.008
1968-10-01,37.885
1969-01-01,39.152
1969-04-01,40.565
1969-07-01,40.983
1969-10-01,40.510
1970-01-01,41.332
1970-04-01,41.968
1970-07-01,41.881
1970-10-01,42.700
1971-01-01,43.110
1971-04-01,44.312
1971-07-01,45.940
1971-10-01,48.658
1972-01-01,51.024
1972-04-01,53.577
1972-07-01,54.384
1972-10-01,55.149
1973-01-01,59.915
1973-04-01,68.334
1973-07-01,67.654
1973-10-01,63.809
1974-01-01,68.558
1974-04-01,72.027
1974-07-01,72.073
1974-10-01,80.193
1975-01-01,84.898
1975-04-01,87.832
1975-07-01,77.715
1975-10-01,82.541
1976-01-01,84.669
1976-04-01,88.317
1976-07-01,95.126
1976-10-01,97.541
1977-01-01,98.027
1977-04-01,97.499
1977-07-01,90.572
1977-10-01,95.882
1978-01-01,100.274
1978-04-01,103.654
1978-07-01,109.554
1978-10-01,116.580
1979-01-01,117.006
1979-04-01,124.011
1979-07-01,131.613
1979-10-01,133.651
1980-01-01,127.698
1980-04-01,142.239
1980-07-01,144.174
1980-10-01,138.027
1981-01-01,135.379
1981-04-01,125.446
1981-07-01,116.996
1981-10-01,121.556
1982-01-01,116.624
1982-04-01,117.036
1982-07-01,117.192
1982-10-01,103.413
1983-01-01,103.598
1983-04-01,104.457
1983-07-01,104.762
1983-10-01,104.752
1984-01-01,112.164
1984-04-01,109.024
1984-07-01,107.243
1984-10-01,105.405
1985-01-01,108.884
1985-04-01,113.137
1985-07-01,126.730
1985-10-01,138.447
1986-01-01,149.761
1986-04-01,160.646
1986-07-01,172.425
1986-10-01,183.369
1987-01-01,204.707
1987-04-01,210.662
1987-07-01,217.383
1987-10-01,250.795
1988-01-01,259.487
1988-04-01,254.439
1988-07-01,258.790
1988-10-01,283.795
1989-01-01,283.859
1989-04-01,287.869
1989-07-01,312.123
1989-10-01,337.326
1990-01-01,354.220
1990-04-01,372.010
1990-07-01,404.752
1990-10-01,428.931
1991-01-01,391.708
1991-04-01,370.394
1991-07-01,400.201
1991-10-01,437.901
1992-01-01,412.705
1992-04-01,450.734
1992-07-01,474.953
1992-10-01,359.660
1993-01-01,327.631
1993-04-01,330.650
1993-07-01,315.872
1993-10-01,305.662
1994-01-01,325.130
1994-04-01,330.186
1994-07-01,340.365
1994-10-01,340.396
1995-01-01,341.748
1995-04-01,346.356
1995-07-01,361.860
1995-10-01,378.775
1996-01-01,376.327
1996-04-01,374.795
1996-07-01,377.714
1996-10-01,370.090
1997-01-01,362.724
1997-04-01,358.814
1997-07-01,368.956
1997-10-01,353.689
1998-01-01,362.602
1998-04-01,366.668
1998-07-01,383.955
1998-10-01,374.038
1999-01-01,379.068
1999-04-01,373.278
1999-07-01,390.752
1999-10-01,389.691
2000-01-01,384.649
2000-04-01,386.289
2000-07-01,364.970
2000-10-01,389.749
2001-01-01,359.167
2001-04-01,350.949
2001-07-01,363.190
2001-10-01,382.428
2002-01-01,389.921
2002-04-01,446.012
2002-07-01,442.187
2002-10-01,479.699
2003-01-01,492.387
2003-04-01,525.411
2003-07-01,554.742
2003-10-01,594.780
2004-01-01,566.070
2004-04-01,579.352
2004-07-01,600.172
2004-10-01,677.811
2005-01-01,642.533
2005-04-01,603.084
2005-07-01,615.799
2005-10-01,615.503
2006-01-01,637.864
2006-04-01,704.276
2006-07-01,709.258
2006-10-01,779.892
2007-01-01,794.164
2007-04-01,850.428
2007-07-01,926.284
2007-10-01,983.984
2008-01-01,1104.753
2008-04-01,1139.911
2008-07-01,1033.353
2008-10-01,948.455
2009-01-01,908.051
2009-04-01,988.076
2009-07-01,1096.025
2009-10-01,1090.503
2010-01-01,1076.777
2010-04-01,1007.055
2010-07-01,1175.213
2010-10-01,1169.919
2011-01-01,1272.837
2011-04-01,1280.167
2011-07-01,1205.751
2011-10-01,1208.195
2012-01-01,1296.898
2012-04-01,1229.717
2012-07-01,1334.462
2012-10-01,1308.329
2013-01-01,1333.347
2013-04-01,1313.957
2013-07-01,1370.076
2013-10-01,1376.038
2014-01-01,1403.891
2014-04-01,1361.627
2014-07-01,1258.643
2014-10-01,1201.029
2015-01-01,1107.934
2015-04-01,1169.101
2015-07-01,1161.190
2015-10-01,1191.748
2016-01-01,1228.337
2016-04-01,1187.248
2016-07-01,1189.465
2016-10-01,1146.941
2017-01-01,1203.461
2017-04-01,1284.559
2017-07-01,1338.239
2017-10-01,1358.921
2018-01-01,1359.490
2018-04-01,1275.510
2018-07-01,1300.664
2018-10-01,1294.761
2019-01-01,1300.941
2019-04-01,1319.991
2019-07-01,1266.642
2019-10-01,1353.499
2020-01-01,1292.777
2020-04-01,1399.917
2020-07-01,1466.249
2020-10-01,1623.412
2021-01-01,1563.609
2021-04-01,1627.286
2021-07-01,1609.437
2021-10-01,1632.222
2022-01-01,1614.846
2022-04-01,1476.484
2022-07-01,1402.404
2022-10-01,1535.284
2023-01-01,1430.146
2023-04-01,1390.176
2023-07-01,1364.654
2023-10-01,1463.913
2024-01-01,1455.432
2024-04-01,1479.648
2024-07-01,1585.253
2024-10-01,1447.407
2025-01-01,1544.752
2025-04-01,1612.548
